猎杀者匕首,战痕累累,★ StatTrak™,43684,猎杀者匕首（★ StatTrak™） | 枯焦之色,1,99999.5,918.02,0.01,2024-06-17
猎杀者匕首,略有磨损,★ StatTrak™,43668,猎杀者匕首（★ StatTrak™） | 多普勒,1,9998.5,2856.0,0.29,2024-06-17
猎杀者匕首,崭新出厂,★ StatTrak™,778520,猎杀者匕首（★ StatTrak™） | 致命紫罗兰,1,8887.5,5099.98,0.57,2024-06-17
猎杀者匕首,崭新出厂,★,757196,猎杀者匕首（★） | 枯焦之色,1,6665.5,938.41,0.14,2024-06-17
猎杀者匕首,崭新出厂,★,42908,猎杀者匕首（★） | 深红之网,4,6496.5,6626.97,1.02,2024-06-17
猎杀者匕首,崭新出厂,★,42922,猎杀者匕首（★） | 森林 DDPAT,1,4999.5,2828.43,0.57,2024-06-17
猎杀者匕首,崭新出厂,★,42903,猎杀者匕首（★） | 表面淬火,3,4998.5,9001.1,1.8,2024-06-17
猎杀者匕首,略有磨损,★ StatTrak™,43659,猎杀者匕首（★ StatTrak™） | 表面淬火,2,4598.5,4605.71,1.0,2024-06-17
猎杀者匕首,崭新出厂,★ StatTrak™,755684,猎杀者匕首（★ StatTrak™） | 蓝钢,1,4499.5,6351.65,1.41,2024-06-17
猎杀者匕首,略有磨损,★ StatTrak™,43686,猎杀者匕首（★ StatTrak™） | 枯焦之色,2,3999.5,1891.47,0.47,2024-06-17
猎杀者匕首,崭新出厂,★ StatTrak™,43667,猎杀者匕首（★ StatTrak™） | 多普勒,24,3484.5,5911.94,1.7,2024-06-17
猎杀者匕首,略有磨损,★,42920,猎杀者匕首（★） | 渐变之色,2,3398.5,8937.99,2.63,2024-06-17
猎杀者匕首,崭新出厂,★ StatTrak™,43669,猎杀者匕首（★ StatTrak™） | 渐变之色,18,3299.5,5118.84,1.55,2024-06-17
猎杀者匕首,略有磨损,★,42918,猎杀者匕首（★） | 多普勒,20,3187.5,5338.23,1.67,2024-06-17
猎杀者匕首,略有磨损,★ StatTrak™,872124,猎杀者匕首（★ StatTrak™） | 伽玛多普勒,6,3098.5,4501.97,1.45,2024-06-17
猎杀者匕首,崭新出厂,★,42919,猎杀者匕首（★） | 渐变之色,158,3078.5,4567.11,1.48,2024-06-17
猎杀者匕首,崭新出厂,★ StatTrak™,872051,猎杀者匕首（★ StatTrak™） | 伽玛多普勒,56,3049.5,5040.42,1.65,2024-06-17
猎杀者匕首,崭新出厂,★,871723,猎杀者匕首（★） | 伽玛多普勒,372,3048.5,4132.7,1.36,2024-06-17
猎杀者匕首,略有磨损,★ StatTrak™,43651,猎杀者匕首（★ StatTrak™） | 蓝钢,4,2999,3214.75,1.07,2024-06-17
猎杀者匕首,略有磨损,★,872108,猎杀者匕首（★） | 伽玛多普勒,26,2998.5,4507.7,1.5,2024-06-17
猎杀者匕首,略有磨损,★ StatTrak™,43663,猎杀者匕首（★ StatTrak™） | 深红之网,4,2994.95,4594.76,1.53,2024-06-17
猎杀者匕首,崭新出厂,★,42917,猎杀者匕首（★） | 多普勒,191,2944,4207.78,1.43,2024-06-17
猎杀者匕首,崭新出厂,★ StatTrak™,43688,猎杀者匕首（★ StatTrak™） | 屠夫,3,2798.5,4861.22,1.74,2024-06-17
猎杀者匕首,崭新出厂,★ StatTrak™,884110,猎杀者匕首（★ StatTrak™） | 黑色层压板,4,2749.5,3762.41,1.37,2024-06-17
