格洛克 18 型,崭新出厂,普通,35020,格洛克 18 型 | 渐变之色,271,10399.5,10556.97,1.02,2024-06-17
格洛克 18 型,略有磨损,普通,35021,格洛克 18 型 | 渐变之色,11,9785.49,8965.77,0.92,2024-06-17
格洛克 18 型,崭新出厂,纪念品,37683,格洛克 18 型（纪念品） | 红苹果,9,7776.5,3444.51,0.44,2024-06-17
格洛克 18 型,略有磨损,纪念品,37685,格洛克 18 型（纪念品） | 红苹果,1,4443.5,2502.91,0.56,2024-06-17
格洛克 18 型,久经沙场,纪念品,37684,格洛克 18 型（纪念品） | 红苹果,1,3199,2669.77,0.83,2024-06-17
格洛克 18 型,崭新出厂,StatTrak™,38713,格洛克 18 型（StatTrak™） | 黑龙纹身,66,2804.5,3482.16,1.24,2024-06-17
格洛克 18 型,崭新出厂,普通,776585,格洛克 18 型 | 合成叶,24,2339.5,3260.67,1.39,2024-06-17
格洛克 18 型,略有磨损,普通,776170,格洛克 18 型 | 合成叶,3,2299.5,4687.47,2.04,2024-06-17
格洛克 18 型,久经沙场,普通,775714,格洛克 18 型 | 合成叶,3,2099,3115.65,1.48,2024-06-17
格洛克 18 型,战痕累累,普通,775186,格洛克 18 型 | 合成叶,1,1978.13,2478.17,1.25,2024-06-17
格洛克 18 型,略有磨损,StatTrak™,38714,格洛克 18 型（StatTrak™） | 黑龙纹身,8,1499.5,2294.33,1.53,2024-06-17
格洛克 18 型,崭新出厂,普通,35063,格洛克 18 型 | 暮光星系,227,1354.88,2085.76,1.54,2024-06-17
格洛克 18 型,崭新出厂,StatTrak™,835783,格洛克 18 型（StatTrak™） | 黑色魅影,33,1249.5,1835.46,1.47,2024-06-17
格洛克 18 型,久经沙场,普通,35064,格洛克 18 型 | 暮光星系,3,1098.5,1612.16,1.47,2024-06-17
格洛克 18 型,略有磨损,普通,35065,格洛克 18 型 | 暮光星系,53,1048.5,1494.63,1.43,2024-06-17
格洛克 18 型,崭新出厂,StatTrak™,779414,格洛克 18 型（StatTrak™） | 子弹皇后,73,907,1431.23,1.58,2024-06-17
格洛克 18 型,崭新出厂,普通,35056,格洛克 18 型 | 沙丘之黄,8,849.5,1646.91,1.94,2024-06-17
格洛克 18 型,崭新出厂,纪念品,37697,格洛克 18 型（纪念品） | 核子反应,40,728.5,1470.48,2.02,2024-06-17
格洛克 18 型,崭新出厂,纪念品,37687,格洛克 18 型（纪念品） | 地下水,14,654.5,779.38,1.19,2024-06-17
格洛克 18 型,破损不堪,普通,835935,格洛克 18 型 | 富兰克林,2,617.5,500.58,0.81,2024-06-17
格洛克 18 型,崭新出厂,普通,35018,格洛克 18 型 | 黑龙纹身,209,608,827.85,1.36,2024-06-17
格洛克 18 型,略有磨损,普通,35019,格洛克 18 型 | 黑龙纹身,9,587.99,851.5,1.45,2024-06-17
格洛克 18 型,崭新出厂,纪念品,929116,格洛克 18 型（纪念品） | 拉美西斯之触,12,576.5,1037.58,1.8,2024-06-17
格洛克 18 型,崭新出厂,普通,34998,格洛克 18 型 | 黄铜,37,512.5,788.52,1.54,2024-06-17
格洛克 18 型,崭新出厂,StatTrak™,38700,格洛克 18 型（StatTrak™） | 蓝色裂纹,29,489.5,598.16,1.22,2024-06-17
格洛克 18 型,崭新出厂,普通,871890,格洛克 18 型 | 粉红 DDPAT,27,479.5,711.77,1.48,2024-06-17
格洛克 18 型,崭新出厂,StatTrak™,871957,格洛克 18 型（StatTrak™） | 零食派对,47,477.48,768.94,1.61,2024-06-17
格洛克 18 型,略有磨损,StatTrak™,835992,格洛克 18 型（StatTrak™） | 黑色魅影,73,457.5,642.78,1.4,2024-06-17
格洛克 18 型,破损不堪,普通,871628,格洛克 18 型 | 粉红 DDPAT,6,449,576.76,1.28,2024-06-17
格洛克 18 型,崭新出厂,纪念品,761558,格洛克 18 型（纪念品） | 核子花园,47,428.5,689.28,1.61,2024-06-17
格洛克 18 型,略有磨损,普通,871617,格洛克 18 型 | 粉红 DDPAT,22,420,572.33,1.36,2024-06-17
格洛克 18 型,崭新出厂,普通,35026,格洛克 18 型 | 地下水,9,415.5,603.74,1.45,2024-06-17
格洛克 18 型,久经沙场,普通,871398,格洛克 18 型 | 粉红 DDPAT,19,403.5,601.35,1.49,2024-06-17
格洛克 18 型,崭新出厂,普通,871196,格洛克 18 型 | 伽玛多普勒,979,402.5,549.62,1.37,2024-06-17
格洛克 18 型,战痕累累,普通,871731,格洛克 18 型 | 粉红 DDPAT,7,399.5,534.1,1.34,2024-06-17
格洛克 18 型,崭新出厂,纪念品,877316,格洛克 18 型（纪念品） | 粉红 DDPAT,25,387.4,522.56,1.35,2024-06-17
格洛克 18 型,崭新出厂,普通,35036,格洛克 18 型 | 噩梦之夜,25,363,450.02,1.24,2024-06-17
格洛克 18 型,崭新出厂,普通,835906,格洛克 18 型 | 黑色魅影,144,326.49,442.54,1.36,2024-06-17
格洛克 18 型,略有磨损,普通,871063,格洛克 18 型 | 伽玛多普勒,564,323.5,451.47,1.4,2024-06-17
格洛克 18 型,崭新出厂,StatTrak™,38742,格洛克 18 型（StatTrak™） | 水灵,224,307.5,433.98,1.41,2024-06-17
格洛克 18 型,战痕累累,普通,871709,格洛克 18 型 | 伽玛多普勒,16,295.1,362.59,1.23,2024-06-17
格洛克 18 型,破损不堪,普通,871334,格洛克 18 型 | 伽玛多普勒,19,286.88,406.27,1.42,2024-06-17
格洛克 18 型,略有磨损,StatTrak™,779313,格洛克 18 型（StatTrak™） | 子弹皇后,84,286.39,428.61,1.5,2024-06-17
格洛克 18 型,久经沙场,普通,871117,格洛克 18 型 | 伽玛多普勒,334,284.5,386.03,1.36,2024-06-17
格洛克 18 型,崭新出厂,普通,835647,格洛克 18 型 | 富兰克林,218,282.45,387.19,1.37,2024-06-17
格洛克 18 型,久经沙场,普通,835789,格洛克 18 型 | 富兰克林,33,266.8,323.49,1.21,2024-06-17
格洛克 18 型,崭新出厂,普通,779275,格洛克 18 型 | 子弹皇后,202,265.99,359.4,1.35,2024-06-17
格洛克 18 型,略有磨损,普通,835866,格洛克 18 型 | 富兰克林,49,265.26,371.59,1.4,2024-06-17
